Trial,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
1,2.82,5.04,4.03,1.85,4.26,5.61,3.07,3.56,6.5,4.6,4.12,3.74,3.06,2.96,3.56,3.84,3.55,
2,2.52,2.35,3.93,2.11,3.33,4.28,3.12,3.61,4.3,3.9,3.27,4.27,3.19,2.83,4.46,4.12,3.36,
3,2.57,2.63,3.85,2.58,2.88,6.06,3.77,3.56,2.4,3.4,3.48,4.06,3.08,3.66,3.85,3.75,3.4,
4,2.5,2.74,3.13,2.12,3.25,4.11,3.24,4.25,2.6,4.9,3.75,3.62,3.16,2.81,3.68,3.92,2.93,
5,2.6,3.05,3.51,2.05,3.01,3.21,4.3,4.28,7.3,3.9,3.28,3.31,2.73,4,3.75,4.04,3.3,
6,2.61,2.53,3.63,2.63,3.11,3.76,3.54,5.11,3.3,3.7,3.16,4.06,2.94,2.9,3.4,3.99,3.35,
7,2.63,2.74,3.47,2.74,2.89,3.32,5.02,4.76,6.8,4.1,2.78,3.14,2.93,4,3.25,4.09,2.86,
8,2.53,2.59,3.8,2.76,2.93,3.47,4.47,4.03,5.6,4.5,2.96,3.26,3.16,3.1,3.18,3.47,2.85,
9,2.78,2.42,3.73,2.33,2.81,2.69,2.71,3.75,4.33,5,3,3.22,2.85,2.96,2.58,3.97,3.08,
10,2.57,2.61,3.93,2.23,3.56,3.22,3.5,3.68,3.57,4.1,2.86,3.44,3.21,2.8,3.21,3.79,3.13,
11,2.35,2.65,3.73,2.35,3.03,3.44,2.49,4.41,4.1,4.3,2.9,3.82,2.99,2.9,3.18,3.51,2.85,
12,2.35,2.39,3.36,2.43,2.65,4.3,2.67,3.63,3.63,4.4,3,3.46,3.46,2.83,3.2,3.91,3.06,
13,2.52,2.82,3.61,2.58,3.38,4.09,2.71,4.33,4.38,4.1,3.16,3.27,3.36,3.1,4.1,3.81,3.13,
14,2.65,2.34,3.66,2.51,3.16,4.22,2.81,3.96,3.75,4.5,3.13,2.99,2.87,2.97,3.41,3.87,2.65,
15,2.37,2.91,3.83,2.25,3.16,3.83,3.46,3.86,3.45,3.3,3,3.05,2.79,3,3.05,3.1,2.7,
